Name	GPA	Grade	Teacher
Sana Veneziano	50	K	Smith
Tanika Mendell	60	K	Smith
Christeen Hagy	8	K	Smith
Jaimie Gayle	30	K	Smith
Karissa Sala	92	K	Smith
Regena Privett	22	K	Smith
Kevin Shelburne	12	1	Johnson
Phebe Raygoza	37	1	Johnson
Idell Brose	58	1	Johnson
Shawana Millican	35	1	Johnson
Gabrielle Hott	45	1	Johnson
Lyndia Aleman	15	1	Johnson
Bianca Gant	12	1	Johnson
Charisse Lapp	32	1	Johnson
Exie Viles	37	1	Johnson
Johnie Mcwhirter	94	1	Johnson
Marie Giglio	82	2	Jackson
Rich Jantz	20	2	Jackson
Gretchen Yelton	69	2	Jackson
Roselee Anguiano	26	2	Jackson
Sherryl Waren	26	2	Jackson
Jeanelle Sunderland	36	2	Jackson
Clemencia Crofts	62	2	Jackson
Karena Lynde	90	2	Jackson
Delma Vess	23	2	Jackson
Thurman Lear	85	2	Jackson
Sandi Cassella	90	2	Edwards
Luciana Trueman	30	2	Edwards
Margarita Jacobson	42	2	Edwards
Alvera Mackson	1	3	Michaels
Rachal Humiston	38	3	Michaels
Maryland Flournoy	31	3	Michaels
Belia Monday	41	3	Michaels
Kayleen Polly	67	3	Michaels
Shantelle Sibley	81	3	Michaels
Laurena Schaper	40	4	Andrews
Santo Hintz	25	4	Andrews
Kelvin Vizcarra	72	4	Andrews
Saturnina Bryer	43	4	Andrews
Shanelle Parkey	11	4	Andrews
Cheyenne Frese	80	4	Andrews
Meaghan Koth	51	4	Andrews
Columbus Womble	84	4	Andrews
Cleo Torgeson	29	4	Andrews
Gaynell Puig	57	5	Williams
Kelsi Mauriello	34	5	Williams
Scottie Goding	21	5	Williams
Anamaria Postel	69	5	Williams
Breanne Pressler	37	5	Williams
Letisha Gamet	76	5	Williams
Jennefer Mclachlan	40	5	Williams
Denny Bolding	79	5	Williams
Porsha Mcchristian	71	6	Perriman
Gerda Vanderford	48	6	Perriman
Sheila Evans	24	7	Cramer
Janel Penaloza	53	7	Cramer
Augustus Souther	76	7	Cramer
Ami Gouin	45	7	Cramer
Lecia Lopresti	16	7	Cramer
Mackenzie Castiglione	28	7	Cramer
Viva Koester	45	7	Cramer
Bryant Bame	31	7	Cramer
Arminda Hawke	12	8	Thomas
Jovan Jutras	32	8	Thomas
Yuri Harder	31	8	Thomas
Mignon Braham	86	8	Thomas
Sammy Bermeo	1	8	Thomas
Guadalupe Ard	38	8	Thomas
Margaretta Severino	77	8	Thomas
Charity Holte	89	8	Thomas
Lurlene Alvear	81	9	Wilson
Latanya Dunker	51	9	Wilson
Narcisa Brimmer	59	9	Wilson
Hue Luis	59	9	Wilson
Miles Farrior	82	9	Wilson
Mila Ptak	48	9	Wilson
Marlena Pigford	59	9	Wilson
Nelida Ciulla	77	9	Wilson
Madelene Mchaney	46	9	Wilson
Serina Mckinny	19	10	Schatzman
Laquita Epperson	41	10	Schatzman
Danita Mitzel	84	10	Schatzman
Erin Kohen	74	10	Schatzman
Lance Pujol	82	10	Schatzman
Sabina Gassett	18	10	Schatzman
Adina Darbonne	14	10	Schatzman
Maye Artiaga	100	10	Schatzman
Amie Coltrane	28	11	Stern
Margert Rea	58	11	Stern
Kimberely Newbury	98	11	Stern
Marjorie Mcquade	73	11	Stern
Miesha Kammer	8	11	Stern
Fran Rish	54	11	Stern
Wilhelmina Slattery	98	12	Britt
Diamond Solum	51	12	Britt
Adah Deshotel	98	12	Britt
Lenny Myles	83	12	Britt
Lana Tally	84	12	Britt
Vasiliki Tompkins	40	12	Britt
Frederica Troche	70	12	Britt
